name,name_normalized,brand,barcode,kcal,protein,carbs,fat,fibres,sodium,source,sold_in_fr,popularity
Lait Frais 15 jours,lait frais 15 jours,Chergui,6111126003821,57.2,3.01,4.75,2.91,0,34.5,off,False,3571
Confiture De Fraises 430 G,confiture de fraises 430 g,El Baraka,6111184001074,256.0,0.5,63.0,0.5,0.5,8.0,off,False,3566
uht jibal 1L,uht jibal 1l,Jibal,6111246950845,55.0,3.0,0,3.0,0,40.0,off,False,3566
Aquafina 50cl,aquafina 50cl,Aquafina,6111252421575,1.0,0.1,0.1,0.1,0,40.0,off,False,3565
Eyoo cover,eyoo cover,EXCELO,6111259340992,452.0,6.0,55.0,23.0,0,0,off,False,3559
Henry's Sable Coco Biscuit 85G,henry's sable coco biscuit 85g,Henrys,3362600001106,376.5,6.5,63.0,10.5,2.3,300.0,off,False,3556
Familia 200g,familia 200g,,6111037000599,532.0,0.2,0.2,60.0,5.0,0,off,False,3551
Lait U.H.T entier,lait u.h.t entier,Dost,6111250470742,58.0,3.0,4.8,3.0,0,0,off,False,3550
Croissance réduit en sucre,croissance reduit en sucre,Jaouda,6111242103528,64.0,2.5,7.7,2.6,0,31.0,off,False,3549
Délicia - Confiture d'abricot,delicia - confiture d'abricot,Delicia,6111162000723,272.0,0.41,67.36,0.12,0,0,off,False,3548
Perly fromage,perly fromage,perly,6111266960336,262.0,10.0,6.0,22.0,0,640.0,off,False,3547
Fromage blanc nature,fromage blanc nature,MILKY FOOD,6111246721735,225.0,3.8,3.6,21.0,0,0,off,False,3542
Star Mayonnaise,star mayonnaise,Star,6111184000657,592.0,1.12,0,65.21,0,700.0,off,False,3542
Lait sans lactose,lait sans lactose,Jaouda,6111242105638,58.0,3.0,4.7,3.0,0,0,off,False,3539
lait,lait,Jaouda,6111266962651,191.0,3.0,0,1.5,0,0,off,False,3539
Filets De Maquereaux,filets de maquereaux,10dh,6111003031107,180.0,30.1,0.6,6.4,0,200.0,off,False,3537
Linea,linea,Jaouda,6111242101203,32.0,3.1,5.0,0,0,0,off,False,3537
Confiture De Fraises Aicha,confiture de fraises aicha,Aïcha,6111021013208,239.0,0,59.8,0.3,1.5,0,off,False,3535
Margarine de Table,margarine de table,Lilia,6111099005396,675.0,0.1,0.2,75.0,0,200.0,off,False,3534
Pauz,pauz,pauz,6111259347861,599.0,5.6,47.5,43.5,2.4,180.0,off,False,3533
Moutarde 10.50 g,moutarde 10.50 g,Star,6111184001203,158.7,7.44,7.07,11.19,0,2616.0,off,False,3532
Cacao,cacao,Idéal,6111180007650,313.0,22.0,0,11.0,32.0,32.0,off,False,3529
vinaigre de table blanc,vinaigre de table blanc,efor,6111250474191,0.88,0,0.15,0,0,0,off,False,3529
Delicia,delicia,Délicia,6111162001164,250.0,0.5,61.33,0.3,0,0,off,False,3528
Delicia double concentre de tomates,delicia double concentre de tomates,Delicia,6111162001201,91.0,4.13,18.35,0.09,0,0,off,False,3526
Golden,golden,Bimo,6111031005651,461.0,6.3,76.0,14.5,0.2,172.0,off,False,3525
Pâte d'arachide,pate d'arachide,pâte d'arachide,8198701234564,582.0,24.3,24.8,48.2,6.5,280.0,off,False,3524
Nesquik Cocoa,nesquik cocoa,Nestlé,7613287431943,382.0,5.1,78.0,3.6,7.7,176.0,off,False,3523
Filets de maquereau,filets de maquereau,joly,6111162001218,180.0,30.1,0.6,8.5,0,200.0,off,False,3519
Lait naturel,lait naturel,Salim,6111032000624,58.0,3.0,4.8,3.0,0,0,off,False,3519
King cookies choco,king cookies choco,Excelo,6111259343344,475.0,5.4,60.4,24.0,0,108.0,off,False,3518
lait UHT sans lactose jaouda,lait uht sans lactose jaouda,Jaouda,6111242107441,58.2,3.0,4.7,3.0,0,0,off,False,3517
Huile de tournesol,huile de tournesol,Lesieur Cristal,6111024001202,900.0,0,0,100.0,0,0,off,False,3515
Houilor,houilor,Huilor,6111024002186,900.0,0,0,100.0,0,0,off,False,3514
slic cheddar viva 24t,slic cheddar viva 24t,Ideal,6111260230619,281.0,8.0,21.0,8.0,0,1300.0,off,False,3514
jibal,jibal,Jibal,6111246953679,105.0,6.5,0,3.8,0,100.0,off,False,3512
أيس,ايس,ice,6111243860376,54.0,0.03,13.6,0,0,0,off,False,3511
Biscotti,biscotti,Excelo,6111259347434,193.0,3.0,31.0,6.0,1.0,100.0,off,False,3510
Jben AKNAZ,jben aknaz,Aknaz,6111250472708,241.0,6.0,7.0,21.0,0,200.0,off,False,3510
Salim,salim,,6111032000631,58.0,3.0,0,3.0,0,0,off,False,3508
